CodProv,CodDist,CodPost,CodLocal,CodBairro,Provincia,Distrito,Posto,Localidade,Bairro,informal_type,count,rate
01,01,01,99,01,Niassa,Lichinga,Sanjala,Nao Aplicavel,Chiulugo,loweduc-selfemp,560.1481,0.429937918795608
01,01,01,99,01,Niassa,Lichinga,Sanjala,Nao Aplicavel,Chiulugo,higheduc-wage,48.7368,0.0374076040974838
01,01,01,99,01,Niassa,Lichinga,Sanjala,Nao Aplicavel,Chiulugo,employer,28.8349,0.022132034179317
01,01,01,99,01,Niassa,Lichinga,Sanjala,Nao Aplicavel,Chiulugo,unpaidfam,646.0971,0.495907497524097
01,01,01,99,01,Niassa,Lichinga,Sanjala,Nao Aplicavel,Chiulugo,higheduc-selfemp,19.0412,0.0146149454034941
01,01,01,99,02,Niassa,Lichinga,Sanjala,Nao Aplicavel,Muchenga,employer,107.5795,0.0518860608062315
01,01,01,99,02,Niassa,Lichinga,Sanjala,Nao Aplicavel,Muchenga,unpaidfam,175.66,0.0847215820971712
01,01,01,99,02,Niassa,Lichinga,Sanjala,Nao Aplicavel,Muchenga,higheduc-wage,871.9855,0.420562399668638
01,01,01,99,02,Niassa,Lichinga,Sanjala,Nao Aplicavel,Muchenga,loweduc-wage,196.5971,0.094819636500716
01,01,01,99,02,Niassa,Lichinga,Sanjala,Nao Aplicavel,Muchenga,higheduc-selfemp,217.8966,0.105092478000652
01,01,01,99,02,Niassa,Lichinga,Sanjala,Nao Aplicavel,Muchenga,loweduc-selfemp,503.6609,0.242917842926592
01,01,01,99,03,Niassa,Lichinga,Sanjala,Nao Aplicavel,Nzinje,higheduc-wage,1087.5881,0.466205437156826
01,01,01,99,03,Niassa,Lichinga,Sanjala,Nao Aplicavel,Nzinje,unpaidfam,137.9471,0.0591323940194053
01,01,01,99,03,Niassa,Lichinga,Sanjala,Nao Aplicavel,Nzinje,loweduc-selfemp,578.5965,0.248021134306186
01,01,01,99,03,Niassa,Lichinga,Sanjala,Nao Aplicavel,Nzinje,higheduc-selfemp,225.9896,0.0968726857722111
01,01,01,99,03,Niassa,Lichinga,Sanjala,Nao Aplicavel,Nzinje,employer,78.8671,0.0338071654450716
01,01,01,99,03,Niassa,Lichinga,Sanjala,Nao Aplicavel,Nzinje,loweduc-wage,223.8632,0.0959611833003008
01,01,01,99,04,Niassa,Lichinga,Sanjala,Nao Aplicavel,Popular,unpaidfam,58.2494,0.107056698914498
01,01,01,99,04,Niassa,Lichinga,Sanjala,Nao Aplicavel,Popular,higheduc-wage,336.863,0.619121240157574
01,01,01,99,04,Niassa,Lichinga,Sanjala,Nao Aplicavel,Popular,higheduc-selfemp,39.433,0.0724739964410862
01,01,01,99,04,Niassa,Lichinga,Sanjala,Nao Aplicavel,Popular,loweduc-wage,59.6833,0.109692066842297
01,01,01,99,04,Niassa,Lichinga,Sanjala,Nao Aplicavel,Popular,loweduc-selfemp,30.2674,0.0556285202718772
01,01,01,99,04,Niassa,Lichinga,Sanjala,Nao Aplicavel,Popular,employer,19.6025,0.0360274773726674
01,01,01,99,05,Niassa,Lichinga,Sanjala,Nao Aplicavel,Sanjala,employer,128.4566,0.0359235155079819
01,01,01,99,05,Niassa,Lichinga,Sanjala,Nao Aplicavel,Sanjala,higheduc-wage,1097.3839,0.306888766710777
01,01,01,99,05,Niassa,Lichinga,Sanjala,Nao Aplicavel,Sanjala,unpaidfam,772.8728,0.216137652845377
01,01,01,99,05,Niassa,Lichinga,Sanjala,Nao Aplicavel,Sanjala,loweduc-wage,410.9603,0.114927054820188
01,01,01,99,05,Niassa,Lichinga,Sanjala,Nao Aplicavel,Sanjala,higheduc-selfemp,278.7852,0.0779636426279058
01,01,01,99,05,Niassa,Lichinga,Sanjala,Nao Aplicavel,Sanjala,loweduc-selfemp,887.3772,0.248159367487771
01,01,01,99,06,Niassa,Lichinga,Sanjala,Nao Aplicavel,Namacula,loweduc-selfemp,2023.9572,0.326551960928716
01,01,01,99,06,Niassa,Lichinga,Sanjala,Nao Aplicavel,Namacula,employer,349.538,0.0563956190966398
01,01,01,99,06,Niassa,Lichinga,Sanjala,Nao Aplicavel,Namacula,loweduc-wage,608.5005,0.0981774869059011
01,01,01,99,06,Niassa,Lichinga,Sanjala,Nao Aplicavel,Namacula,unpaidfam,1392.52,0.224673790845209
01,01,01,99,06,Niassa,Lichinga,Sanjala,Nao Aplicavel,Namacula,higheduc-wage,1336.0085,0.215556038187187
01,01,01,99,06,Niassa,Lichinga,Sanjala,Nao Aplicavel,Namacula,higheduc-selfemp,487.4395,0.0786451040363466
01,01,02,99,01,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Ceramica,loweduc-selfemp,652.4985,0.249379521304112
01,01,02,99,01,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Ceramica,loweduc-wage,380.4849,0.145418176785759
01,01,02,99,01,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Ceramica,higheduc-selfemp,214.0065,0.0817915114379088
01,01,02,99,01,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Ceramica,unpaidfam,383.4036,0.146533679746809
01,01,02,99,01,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Ceramica,higheduc-wage,917.5681,0.350686926547606
01,01,02,99,01,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Ceramica,employer,68.5263,0.0261901841778057
01,01,02,99,02,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Estacao,loweduc-selfemp,489.1167,0.277149181403727
01,01,02,99,02,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Estacao,higheduc-wage,717.7155,0.406680580126923
01,01,02,99,02,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Estacao,loweduc-wage,227.5881,0.128958703745404
01,01,02,99,02,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Estacao,higheduc-selfemp,98.8743,0.0560253438634716
01,01,02,99,02,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Estacao,unpaidfam,182.0121,0.103133883019274
01,01,02,99,02,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Estacao,employer,49.5071,0.0280523078412011
01,01,02,99,03,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Lucheringo,higheduc-wage,838.565,0.397328849353771
01,01,02,99,03,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Lucheringo,loweduc-selfemp,483.5273,0.229104894361362
01,01,02,99,03,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Lucheringo,higheduc-selfemp,116.6197,0.0552567436191374
01,01,02,99,03,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Lucheringo,loweduc-wage,336.8648,0.159613271925001
01,01,02,99,03,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Lucheringo,employer,89.4213,0.0423695983456481
01,01,02,99,03,Niassa,Lichinga,Chiuaula,Nao Aplicavel,Lucheringo,unpaidfam,245.5081,0.11632664239508
01,01,03,99,01,Niassa,Lichinga,Massenger,Nao Aplicavel,Assumane,unpaidfam,744.9942,0.655430938639837
01,01,03,99,01,Niassa,Lichinga,Massenger,Nao Aplicavel,Assumane,loweduc-selfemp,294.0332,0.258684505553567
01,01,03,99,01,Niassa,Lichinga,Massenger,Nao Aplicavel,Assumane,loweduc-wage,78.4932,0.0690567413180458
01,01,03,99,01,Niassa,Lichinga,Massenger,Nao Aplicavel,Assumane,employer,9.5861,0.00843365830350806
01,01,03,99,01,Niassa,Lichinga,Massenger,Nao Aplicavel,Assumane,higheduc-wage,9.5412,0.008394156185042
01,01,03,99,02,Niassa,Lichinga,Massenger,Nao Aplicavel,Massenger,loweduc-selfemp,313.7987,0.390500932141284
01,01,03,99,02,Niassa,Lichinga,Massenger,Nao Aplicavel,Massenger,unpaidfam,331.083,0.412010056498427
01,01,03,99,02,Niassa,Lichinga,Massenger,Nao Aplicavel,Massenger,higheduc-selfemp,49.0065,0.0609852237468856
